datetime,count
2011-01-20 00:00:00,11.3
2011-01-20 01:00:00,4.68
2011-01-20 02:00:00,4.21
2011-01-20 03:00:00,3.2
2011-01-20 04:00:00,3.09
2011-01-20 05:00:00,6.86
2011-01-20 06:00:00,37.9
2011-01-20 07:00:00,107.8
2011-01-20 08:00:00,241.53
2011-01-20 09:00:00,136.31
2011-01-20 10:00:00,62.18
2011-01-20 11:00:00,62.41
2011-01-20 12:00:00,90.62
2011-01-20 13:00:00,75.35
2011-01-20 14:00:00,82.92
2011-01-20 15:00:00,85.2
2011-01-20 16:00:00,96.28
2011-01-20 17:00:00,202.74
2011-01-20 18:00:00,179.85
2011-01-20 19:00:00,101.53
2011-01-20 20:00:00,70.83
2011-01-20 21:00:00,50.99
2011-01-20 22:00:00,45.21
2011-01-20 23:00:00,26.42
2011-01-21 00:00:00,13.55
2011-01-21 01:00:00,6.7
2011-01-21 02:00:00,4.006666666666666
2011-01-21 03:00:00,2.33
2011-01-21 04:00:00,1.89
2011-01-21 05:00:00,3.53
2011-01-21 06:00:00,35.49
2011-01-21 07:00:00,100.97
2011-01-21 08:00:00,205.37
2011-01-21 09:00:00,131.46
2011-01-21 10:00:00,50.21
2011-01-21 11:00:00,65.47
2011-01-21 12:00:00,75.62
2011-01-21 13:00:00,67.86
2011-01-21 14:00:00,65.92
2011-01-21 15:00:00,64.55
2011-01-21 16:00:00,80.04
2011-01-21 17:00:00,153.31
2011-01-21 18:00:00,151.95
2011-01-21 19:00:00,107.2
2011-01-21 20:00:00,69.68
2011-01-21 21:00:00,47.97
2011-01-21 22:00:00,33.39
2011-01-21 23:00:00,20.45
2011-01-22 00:00:00,24.11
2011-01-22 01:00:00,17.6
2011-01-22 02:00:00,13.69
2011-01-22 03:00:00,7.29
2011-01-22 04:00:00,2.59
2011-01-22 06:00:00,4.91
2011-01-22 07:00:00,16.95
2011-01-22 08:00:00,27.59
2011-01-22 09:00:00,36.153333333333336
2011-01-22 10:00:00,58.25
2011-01-22 11:00:00,61.46
2011-01-22 12:00:00,70.77
2011-01-22 13:00:00,76.98
2011-01-22 14:00:00,72.78
2011-01-22 15:00:00,72.14
2011-01-22 16:00:00,72.68
2011-01-22 17:00:00,82.27
2011-01-22 18:00:00,60.78
2011-01-22 19:00:00,40.51
2011-01-22 20:00:00,41.21
2011-01-22 21:00:00,42.18
2011-01-22 22:00:00,29.9
2011-01-22 23:00:00,19.83
2011-01-23 00:00:00,28.54
2011-01-23 01:00:00,20.24
2011-01-23 02:00:00,14.2
2011-01-23 03:00:00,13.26
2011-01-23 05:00:00,2.84
2011-01-23 06:00:00,2.4
2011-01-23 07:00:00,8.39
2011-01-23 08:00:00,17.53
2011-01-23 09:00:00,28.95
2011-01-23 10:00:00,55.3
2011-01-23 11:00:00,62.95
2011-01-23 12:00:00,68.68
2011-01-23 13:00:00,64.91
2011-01-23 14:00:00,71.36
2011-01-23 15:00:00,71.24
2011-01-23 16:00:00,74.98
2011-01-23 17:00:00,71.79
2011-01-23 18:00:00,72.4
2011-01-23 19:00:00,47.53
2011-01-23 20:00:00,31.66
2011-01-23 21:00:00,31.17
2011-01-23 22:00:00,20.19
